date,VaR_95,VaR_99
2014-02-07,-3.976032768454837,-6.987311631957032
2014-02-10,-3.8347418826784905,-6.739013011908626
2014-02-11,-3.7833447046476394,-6.648689787524261
2014-02-12,-3.656236039810817,-6.425314402043722
2014-02-13,-3.450916799874303,-6.064495063517368
2014-02-14,-3.4198436577013123,-6.009888439178311
2014-02-18,-3.244308848297194,-5.7014109977211564
2014-02-19,-3.0938330614786596,-5.4369712214932475
2014-02-20,-3.169527474184588,-5.569993377288967
2014-02-21,-3.1407415478913947,-5.519406209290538
2014-02-24,-3.1079878859763683,-5.461846310714301
2014-02-25,-2.978363538751751,-5.234049971525833
2014-02-26,-2.95904128427455,-5.200093859660927
2014-02-27,-2.9194374066869817,-5.130495682117296
2014-02-28,-3.0810508230639515,-5.414508256935678
2014-03-03,-2.9562087264911576,-5.195116042550084
2014-03-04,-2.840384770184262,-4.991571926016818
2014-03-05,-2.763508756695422,-4.856473275037188
2014-03-06,-2.6719116480493623,-4.6955043947568145
2014-03-07,-2.605884072617257,-4.57947032946767
2014-03-10,-2.537507662706905,-4.459308521922071
2014-03-11,-2.4769952502217687,-4.352966570469922
2014-03-12,-2.4967837221284648,-4.387741993104592
2014-03-13,-2.442298864424915,-4.291992611203626
2014-03-14,-2.5323909829379567,-4.450316685549337
2014-03-17,-2.6077480801105146,-4.5827460573095085
2014-03-18,-2.544902684720293,-4.472304220484385
2014-03-19,-2.539791865069556,-4.4633226824352645
2014-03-20,-2.48028224576247,-4.358742997253411
2014-03-21,-2.4594946733900183,-4.322211797764674
2014-03-24,-2.4556501111410554,-4.315455526856876
2014-03-25,-2.5169394027650513,-4.423162732812621
2014-03-26,-2.546660749506966,-4.475393769099556
2014-03-27,-2.5853515166826817,-4.543387285068812
2014-03-28,-2.5428028548759913,-4.468614068428138
2014-03-31,-2.4854172104723804,-4.36776696680716
2014-04-01,-2.433902267127874,-4.277236786647061
2014-04-02,-2.452011892641913,-4.3090618757178945
2014-04-03,-2.4047326412564978,-4.225975321256747
2014-04-04,-2.423839312512753,-4.259552576297502
2014-04-07,-2.561167895099965,-4.500888012495304
2014-04-08,-2.74308052931373,-4.820573573219632
2014-04-09,-2.654015862855529,-4.6640550996101675
2014-04-10,-2.704098401621802,-4.752068032616128
2014-04-11,-2.7840609593758665,-4.8925908457953415
2014-04-14,-2.7474200572359577,-4.82819967584352
2014-04-15,-2.664827001087448,-4.683054136167892
2014-04-16,-2.6433785718176432,-4.645361574750106
2014-04-17,-2.568566180045202,-4.513889445195889
2014-04-21,-2.6010379541055384,-4.570953965992141
2014-04-22,-2.6358560909566253,-4.632141885405898
2014-04-23,-2.5610721454242364,-4.500719746069462
2014-04-24,-2.6732820056047113,-4.697912603100166
2014-04-25,-5.874704513275773,-10.32395696172154
2014-04-28,-5.449160163268878,-9.576123339647973
2014-04-29,-5.638307989871463,-9.908523721119991
2014-04-30,-5.2260011193966225,-9.183953085067554
2014-05-01,-4.859469623752286,-8.539826154496618
2014-05-02,-4.521452986166713,-7.94581002808664
2014-05-05,-4.218816187602501,-7.413968932700564
2014-05-06,-4.047143332891506,-7.112278326896132
2014-05-07,-3.880749043888621,-6.819864048959257
2014-05-08,-3.661071579392186,-6.433812174554992
2014-05-09,-3.499852405572619,-6.150492424913759
2014-05-12,-3.330504497840389,-5.852887582485651
2014-05-13,-3.2570344686668444,-5.723774464123694
2014-05-14,-3.099732205960417,-5.447338128220728
2014-05-15,-2.9625477436193903,-5.206255962841156
2014-05-16,-2.9143998805561715,-5.12164294699666
2014-05-19,-2.950901045568518,-5.185788548837327
2014-05-20,-2.926251496081096,-5.142470474292661
2014-05-21,-2.8118119717531593,-4.941359299898851
2014-05-22,-2.714839110106067,-4.7709432989175
2014-05-23,-2.629220701516497,-4.620481132963057
2014-05-27,-2.648710391241427,-4.654731488442687
2014-05-28,-2.83505921764124,-4.982213025475131
2014-05-29,-2.742917259372464,-4.820286649538114
2014-05-30,-2.8951050830491556,-5.087735086848561
2014-06-02,-2.8024638352263316,-4.924931280590447
2014-06-03,-2.755882744642931,-4.843071644360858
2014-06-04,-2.8079906971668445,-4.9346439537433335
2014-06-05,-2.799352264007538,-4.919463137082367
2014-06-06,-2.709143669890323,-4.760934373441755
2014-06-09,-2.635859358320416,-4.632147627332675
2014-06-10,-2.7534885956314574,-4.838864268262444
2014-06-11,-2.6828121410417793,-4.71466045958713
2014-06-12,-2.624048242796459,-4.611391273023502
2014-06-13,-2.821594322225555,-4.958550388409476
2014-06-16,-2.8384939703395013,-4.988249114430904
2014-06-17,-2.803788900784372,-4.9272598946955055
2014-06-18,-2.7097304056885623,-4.761965478089696
2014-06-19,-2.624487676025476,-4.6121635143734565
2014-06-20,-2.5688080850810113,-4.514314558862947
2014-06-23,-2.618722616423181,-4.602032242735649
2014-06-24,-2.549377707211016,-4.480168435525765
2014-06-25,-2.5320582119739288,-4.4497318879475225
2014-06-26,-2.47234980641013,-4.344802864215238
2014-06-27,-2.4452341249926235,-4.29715091383893
2014-06-30,-2.508881146832421,-4.409001495043638
2014-07-01,-2.5327306885553376,-4.450913669817323
2014-07-02,-2.4996880692670587,-4.392845969788523
2014-07-03,-2.4465249347861064,-4.299419328313832
2014-07-07,-2.422648285047311,-4.257459515060863
2014-07-08,-2.7198131004006516,-4.7796843788498204
2014-07-09,-2.6803969183133343,-4.710416049430825
2014-07-10,-2.5995103077766215,-4.568269345018128
2014-07-11,-2.5496280495163925,-4.4806083764931035
2014-07-14,-2.488263293089231,-4.372768551887647
2014-07-15,-2.564769148918119,-4.507216703469094
2014-07-16,-2.64456315907913,-4.647443318245009
2014-07-17,-2.607368750289228,-4.582079439143368
2014-07-18,-2.8422029946661214,-4.994767196732996
2014-07-21,-2.8840110701022885,-5.06823893824442
2014-07-22,-2.8058953429812954,-4.9309616670202665
2014-07-23,-2.752515570038698,-4.837154314286103
2014-07-24,-3.1468301098385267,-5.5301059902512515
2014-07-25,-3.0082732266130323,-5.286611990521102
2014-07-28,-2.9077550557542047,-5.109965613248442
2014-07-29,-2.926144013241907,-5.142281588502167
2014-07-30,-2.855867070110282,-5.018779864346906
